1	하나
ginger tea	생강차
ginseng	인삼
girlfriend	그녀
give	주다
give	드리다
giving birth	출산
glad, delight	기뻐하다
glance, attention	눈길
glass	유리
glass, ~ cup(s)	잔
glasses	안경
glasses, cup	술잔
gloves	장갑
go	가다
go, commute	다니다
god, new	신
go down	내리다
go down	내려가다
go in, enter	들어가다
going straight	직진
gold	금
gold medal	금메달
golf	골프
good	좋다
go out	외출하다
go out, get out	나가다
go to visit	찾아가다
go to work	출근하다
go up	올라가다
gourd	바가지
government	정부
grace, blessing	혜택
grade, credit	학점
grade report card	성적표
grades	성적
grade, school year	학년
gradually	점차
gradually	서서히
gradually, slowly	점점
graduate	졸업하다
graduate school	대학원
graduation	졸업
graduation ceremony	졸업식
gram	그램
grammar	문법
grandfather	할아버지
grandmother	할머니
grandson	손자
grape	포도
graph	그래프
grass	잔디
grass field	잔디밭
greatly	대단히
greed	욕심
greedy person	욕심쟁이
green	녹색
green color	초록색
green tea	녹차
greet	인사하다
greeting	맞이
greetings	인사
greeting words	인사말
grey	회색
grill	구이
grilled pork belly	삼겹살
grocery	식료품
groom	신랑
groom candidate	신랑감
group	그룹
group	단체
group dinner, drinking party	회식
growth, rise	증가
guess	추측
guest room	객실
guidebook, handbook	안내서
guide, invite	안내하다
gun	총
guy	놈
Gyeongbokgung	경복궁
Gyeongju	경주
gym	체육관
gymnastics	체조
habit	습관
habit, manner	버릇
hair	머리카락
(hair) bangs	앞머리
hairstyle	헤어스타일
half	절반
half a year	반년
half, group	반
half-moon	반달
hamburger	햄버거
Hanbok, Korean traditional clothes	한복
hand	손
handbag	핸드백
handkerchief	손수건
handle, rail	손잡이
hands and legs	손발
handshake	악수
handsome	잘생기다
Hangul	한글
Hangul day	한글날
Hanok (traditional Korean architecture)	한옥
Han River, Hangang	한강
happiness	행복
happy	기쁘다
happy	행복하다
hard, enthusiastic	열심히
hardship	고생
hardship, hard work	수고
hat	모자
hate	싫다
have	갖다
have	가지다
have a sale	세일하다
have fun	즐거워하다
have, there	있다
headache	두통
headache pill/medicine	두통약
head, hair	머리
head, hill	고개
health	건강
healthy diet	건강식
healthy food	건강식품
heart	심장
heart disease	심장병
heater	난방
heat, hotness	더위
heaven	천국
heavy	무겁다
heavy rain	폭우
heavy snow	폭설
hectically, frantically	정신없이
height	높이
hell	지옥
hello	여보세요
hello	안녕하십니까
helmet	헬멧
help	돕다
help	도와주다
